sim_time,unit_id,x,y,battery,state
2.4,U02,-36.969,-16.796,98.97,patrullando
2.4,U03,59.935,-118.839,98.55,patrullando
2.5,U01,141.154,133.428,98.16,patrullando
2.5,U02,-38.697,-14.273,98.93,patrullando
2.5,U03,57.204,-123.339,98.49,patrullando
2.6,U01,142.234,135.166,98.09,patrullando
2.6,U02,-40.426,-11.749,98.89,patrullando
2.6,U03,54.473,-127.839,98.43,patrullando
2.7,U01,143.291,136.864,98.01,patrullando
2.7,U02,-42.154,-9.226,98.85,patrullando
2.7,U03,51.742,-132.339,98.37,patrullando
2.8,U01,144.347,138.562,97.94,patrullando
2.8,U02,-43.883,-6.702,98.8,patrullando
2.8,U03,49.011,-136.839,98.31,patrullando
2.9,U01,145.403,140.261,97.87,patrullando
2.9,U02,-45.611,-4.179,98.76,patrullando
2.9,U03,46.281,-141.339,98.25,patrullando
3.0,U01,146.46,141.959,97.79,patrullando
3.0,U02,-47.34,-1.655,98.72,patrullando
3.0,U03,43.55,-145.839,98.19,patrullando
3.1,U01,147.516,143.657,97.72,patrullando
3.1,U02,-49.068,0.868,98.68,patrullando
3.1,U03,40.819,-150.339,98.12,patrullando
3.2,U01,148.572,145.355,97.65,patrullando
3.2,U02,-50.797,3.392,98.63,patrullando
3.2,U03,38.088,-154.839,98.06,patrullando
3.3,U01,149.629,147.054,97.57,patrullando
3.3,U02,-52.525,5.915,98.59,patrullando
3.3,U03,35.357,-159.339,98.0,patrullando
3.4,U01,143.291,150.042,97.5,patrullando
3.4,U02,-54.253,8.438,98.55,patrullando
3.4,U03,32.626,-163.839,97.94,patrullando
3.5,U01,136.954,153.03,97.42,patrullando
3.5,U02,-55.982,10.962,98.51,patrullando
3.5,U03,29.895,-168.339,97.88,patrullando
3.6,U01,130.616,156.018,97.34,patrullando
3.6,U02,-57.71,13.485,98.46,patrullando
3.6,U03,27.354,-172.526,97.82,patrullando
3.7,U01,124.279,159.006,97.26,patrullando
3.7,U02,-59.439,16.009,98.42,patrullando
3.7,U03,25.029,-176.358,97.76,patrullando
3.8,U01,117.941,161.994,97.19,patrullando
3.8,U02,-61.167,18.532,98.38,patrullando
3.8,U03,22.901,-179.863,97.7,patrullando
3.9,U01,111.604,164.982,97.11,patrullando
3.9,U02,-62.896,21.056,98.33,patrullando
3.9,U03,20.955,-183.071,97.64,patrullando
4.0,U01,105.266,167.97,97.03,patrullando
4.0,U02,-64.624,23.579,98.29,patrullando
4.0,U03,19.174,-186.006,97.58,patrullando
4.1,U01,98.929,170.958,96.96,patrullando
4.1,U02,-66.353,26.103,98.25,patrullando
4.1,U03,17.544,-188.691,97.52,patrullando
4.2,U01,92.591,173.946,96.88,patrullando
4.2,U02,-68.081,28.626,98.21,patrullando
4.2,U03,16.053,-191.149,97.46,patrullando
4.3,U01,86.253,176.934,96.8,patrullando
4.3,U02,-69.81,31.15,98.16,patrullando
4.3,U03,14.688,-193.397,97.4,patrullando
4.4,U01,79.916,179.922,96.73,patrullando
4.4,U02,-71.538,33.673,98.12,patrullando
4.4,U03,13.44,-195.454,97.34,patrullando
4.5,U01,73.578,182.91,96.65,patrullando
4.5,U02,-73.267,36.197,98.08,patrullando
4.5,U03,12.297,-197.337,97.28,patrullando
4.6,U01,67.324,185.858,96.57,patrullando
4.6,U02,-74.995,38.72,98.04,patrullando
4.6,U03,11.252,-199.059,97.22,patrullando
4.7,U01,61.602,188.556,96.49,patrullando
4.7,U02,-76.724,41.243,97.99,patrullando
4.7,U03,10.214,-200.769,97.16,patrullando
4.8,U01,56.366,191.025,96.42,patrullando
4.8,U02,-78.452,43.767,97.95,patrullando
4.8,U03,9.177,-202.479,97.1,patrullando
4.9,U01,51.574,193.284,96.34,patrullando
4.9,U02,-80.181,46.29,97.91,patrullando
4.9,U03,8.139,-204.188,97.04,patrullando
5.0,U01,47.191,195.351,96.26,patrullando
5.0,U02,-81.909,48.814,97.86,patrullando
5.0,U03,7.102,-205.898,96.98,patrullando
5.1,U01,43.179,197.242,96.19,patrullando
5.1,U02,-83.638,51.337,97.82,patrullando
5.1,U03,6.064,-207.608,96.91,patrullando
5.2,U01,39.509,198.972,96.11,patrullando
5.2,U02,-85.366,53.861,97.78,patrullando
5.2,U03,5.026,-209.318,96.85,patrullando
5.3,U01,36.151,200.556,96.03,patrullando
5.3,U02,-87.095,56.384,97.74,patrullando
5.3,U03,9.959,-207.48,96.79,patrullando
5.4,U01,33.078,202.004,95.96,patrullando
5.4,U02,-88.823,58.908,97.69,patrullando
5.4,U03,14.892,-205.642,96.73,patrullando
5.5,U01,30.266,203.33,95.88,patrullando
5.5,U02,-90.552,61.431,97.65,patrullando
5.5,U03,19.824,-203.805,96.66,patrullando
5.6,U01,27.694,204.543,95.8,patrullando
5.6,U02,-92.28,63.955,97.61,patrullando
5.6,U03,24.757,-201.967,96.6,patrullando
5.7,U01,25.34,205.653,95.72,patrullando
5.7,U02,-94.009,66.478,97.57,patrullando
5.7,U03,29.689,-200.129,96.53,patrullando
5.8,U01,23.186,206.668,95.65,patrullando
5.8,U02,-95.737,69.002,97.52,patrullando
5.8,U03,34.622,-198.292,96.47,patrullando
5.9,U01,21.215,207.598,95.57,patrullando
5.9,U02,-97.466,71.525,97.48,patrullando
5.9,U03,39.555,-196.454,96.4,patrullando
6.0,U01,19.406,208.45,95.49,patrullando
6.0,U02,-99.194,74.048,97.44,patrullando
6.0,U03,44.487,-194.616,96.34,patrullando
6.1,U01,17.597,209.303,95.42,patrullando
6.1,U02,-100.922,76.572,97.39,patrullando
6.1,U03,49.42,-192.779,96.27,patrullando
6.2,U01,15.788,210.156,95.34,patrullando
6.2,U02,-102.651,79.095,97.35,patrullando
6.2,U03,54.353,-190.941,96.21,patrullando
6.3,U01,13.979,211.009,95.26,patrullando
6.3,U02,-104.379,81.619,97.31,patrullando
6.3,U03,59.285,-189.103,96.15,patrullando
6.4,U01,12.17,211.862,95.18,patrullando
6.4,U02,-106.108,84.142,97.27,patrullando
6.4,U03,64.218,-187.266,96.08,patrullando
6.5,U01,10.361,212.715,95.11,patrullando
6.5,U02,-107.836,86.666,97.22,patrullando
6.5,U03,69.15,-185.428,96.02,patrullando
6.6,U01,8.552,213.568,95.03,patrullando
6.6,U02,-109.565,89.189,97.18,patrullando
6.6,U03,74.083,-183.59,95.95,patrullando
6.7,U01,1.976,211.151,94.95,batería baja
6.7,U02,-111.293,91.713,97.14,patrullando
6.7,U03,79.016,-181.753,95.89,patrullando
6.8,U01,1.91,204.144,94.87,regresando a base
6.8,U02,-113.022,94.236,97.1,patrullando
6.8,U03,83.948,-179.915,95.82,patrullando
6.9,U01,1.845,197.138,94.79,regresando a base
6.9,U02,-114.75,96.76,97.05,patrullando
6.9,U03,88.881,-178.077,95.76,patrullando
7.0,U01,1.779,190.132,94.7,regresando a base
7.0,U02,-116.479,99.283,97.01,patrullando
7.0,U03,93.813,-176.24,95.69,patrullando
7.1,U01,1.713,183.125,94.62,regresando a base
7.1,U02,-118.207,101.807,96.97,patrullando
7.1,U03,98.746,-174.402,95.63,patrullando
7.2,U01,1.648,176.119,94.54,regresando a base
7.2,U02,-119.936,104.33,96.92,patrullando
7.2,U03,103.431,-172.656,95.57,patrullando
7.3,U01,1.582,169.113,94.45,regresando a base
7.3,U02,-121.664,106.854,96.88,patrullando
7.3,U03,107.718,-171.059,95.5,patrullando
7.4,U01,1.517,162.107,94.37,regresando a base
7.4,U02,-123.393,109.377,96.84,patrullando
7.4,U03,111.641,-169.598,95.44,patrullando
7.5,U01,1.451,155.1,94.29,regresando a base
7.5,U02,-125.121,111.9,96.8,patrullando
7.5,U03,115.23,-168.261,95.37,patrullando
7.6,U01,1.386,148.094,94.2,regresando a base
7.6,U02,-126.85,114.424,96.75,patrullando
7.6,U03,118.514,-167.037,95.31,patrullando
7.7,U01,1.32,141.088,94.12,regresando a base
7.7,U02,-128.578,116.947,96.71,patrullando
7.7,U03,121.519,-165.918,95.24,patrullando
7.8,U01,1.255,134.081,94.04,regresando a base
7.8,U02,-130.307,119.471,96.67,patrullando
7.8,U03,124.269,-164.893,95.18,patrullando
7.9,U01,1.189,127.075,93.95,regresando a base
7.9,U02,-132.035,121.994,96.63,patrullando
7.9,U03,126.784,-163.956,95.12,patrullando
8.0,U01,1.123,120.069,93.87,regresando a base
8.0,U02,-133.764,124.518,96.58,patrullando
8.0,U03,129.086,-163.098,95.05,patrullando
8.1,U01,1.058,113.063,93.79,regresando a base
8.1,U02,-135.472,127.012,96.54,patrullando
8.1,U03,131.193,-162.314,94.99,batería baja
8.2,U01,0.992,106.056,93.71,regresando a base
8.2,U02,-137.036,129.295,96.5,patrullando
8.2,U03,127.884,-158.22,94.93,regresando a base
8.3,U01,0.927,99.05,93.62,regresando a base
8.3,U02,-138.466,131.384,96.45,patrullando
8.3,U03,124.575,-154.126,94.87,regresando a base
8.4,U01,0.861,92.044,93.54,regresando a base
8.4,U02,-139.775,133.295,96.41,patrullando
8.4,U03,121.266,-150.032,94.82,regresando a base
8.5,U01,0.796,85.037,93.46,regresando a base
8.5,U02,-140.973,135.043,96.37,patrullando
8.5,U03,117.957,-145.938,94.76,regresando a base
8.6,U01,0.73,78.031,93.37,regresando a base
8.6,U02,-142.103,136.693,96.33,patrullando
8.6,U03,114.648,-141.845,94.7,regresando a base
8.7,U01,0.668,71.398,93.29,regresando a base
8.7,U02,-143.234,138.343,96.28,patrullando
8.7,U03,111.339,-137.751,94.65,regresando a base
8.8,U01,0.611,65.33,93.21,regresando a base
8.8,U02,-144.364,139.993,96.24,patrullando
8.8,U03,108.031,-133.657,94.59,regresando a base
8.9,U01,0.559,59.777,93.12,regresando a base
8.9,U02,-145.494,141.643,96.2,patrullando
8.9,U03,104.722,-129.563,94.53,regresando a base
9.0,U01,0.512,54.696,93.04,regresando a base
9.0,U02,-146.624,143.293,96.16,patrullando
9.0,U03,101.413,-125.47,94.47,regresando a base
9.1,U01,0.468,50.046,92.96,regresando a base
9.1,U02,-147.754,144.943,96.11,patrullando
9.1,U03,98.104,-121.376,94.42,regresando a base
9.2,U01,0.428,45.792,92.88,regresando a base
9.2,U02,-148.885,146.593,96.07,patrullando
9.2,U03,94.795,-117.282,94.36,regresando a base
9.3,U01,0.392,41.9,92.79,regresando a base
9.3,U02,-150.183,143.824,96.03,patrullando
9.3,U03,91.486,-113.188,94.3,regresando a base
9.4,U01,0.359,38.339,92.71,regresando a base
9.4,U02,-151.481,141.054,95.98,patrullando
9.4,U03,88.177,-109.094,94.25,regresando a base
9.5,U01,0.328,35.08,92.63,regresando a base
9.5,U02,-152.779,138.285,95.94,patrullando
9.5,U03,84.868,-105.001,94.19,regresando a base
9.6,U01,0.3,32.098,92.54,regresando a base
9.6,U02,-154.077,135.515,95.89,patrullando
9.6,U03,81.56,-100.907,94.13,regresando a base
9.7,U01,0.275,29.37,92.46,regresando a base
9.7,U02,-155.376,132.746,95.85,patrullando
9.7,U03,78.251,-96.813,94.08,regresando a base
9.8,U01,0.251,26.873,92.38,regresando a base
9.8,U02,-156.674,129.976,95.8,patrullando
9.8,U03,74.942,-92.719,94.02,regresando a base
9.9,U01,0.23,24.589,92.29,regresando a base
9.9,U02,-157.972,127.207,95.76,patrullando
9.9,U03,71.633,-88.625,93.96,regresando a base
10.0,U01,0.211,22.499,92.21,regresando a base
10.0,U02,-159.27,124.437,95.71,patrullando
10.0,U03,68.324,-84.532,93.91,regresando a base
10.1,U01,0.192,20.499,92.13,regresando a base
10.1,U02,-160.569,121.668,95.67,patrullando
10.1,U03,65.015,-80.438,93.85,regresando a base
10.2,U01,0.173,18.499,92.04,regresando a base
10.2,U02,-161.867,118.898,95.62,patrullando
10.2,U03,61.706,-76.344,93.79,regresando a base
10.3,U01,0.154,16.499,91.96,regresando a base
10.3,U02,-163.165,116.129,95.58,patrullando
10.3,U03,58.397,-72.25,93.74,regresando a base
10.4,U01,0.136,14.499,91.88,regresando a base
10.4,U02,-164.463,113.359,95.53,patrullando
10.4,U03,55.089,-68.156,93.68,regresando a base
10.5,U01,0.117,12.499,91.8,regresando a base
10.5,U02,-165.761,110.59,95.49,patrullando
10.5,U03,51.78,-64.063,93.62,regresando a base
10.6,U01,0.098,10.5,91.71,regresando a base
10.6,U02,-167.06,107.82,95.44,patrullando
10.6,U03,48.471,-59.969,93.57,regresando a base
10.7,U01,0.08,8.5,91.63,recargando
10.7,U02,-168.358,105.051,95.4,patrullando
10.7,U03,45.162,-55.875,93.51,regresando a base
10.8,U01,0.08,8.5,92.23,recargando
10.8,U02,-169.656,102.281,95.35,patrullando
10.8,U03,41.853,-51.781,93.45,regresando a base
10.9,U01,0.08,8.5,92.83,recargando
10.9,U02,-170.954,99.512,95.31,patrullando
10.9,U03,38.544,-47.688,93.39,regresando a base
11.0,U01,0.08,8.5,93.43,recargando
11.0,U02,-172.252,96.742,95.26,patrullando
11.0,U03,35.268,-43.634,93.34,regresando a base
11.1,U01,0.08,8.5,94.03,recargando
11.1,U02,-173.551,93.973,95.22,patrullando
11.1,U03,32.27,-39.925,93.28,regresando a base
11.2,U01,0.08,8.5,94.63,recargando
11.2,U02,-174.849,91.203,95.17,patrullando
11.2,U03,29.527,-36.532,93.22,regresando a base
11.3,U01,0.08,8.5,95.23,recargando
11.3,U02,-176.147,88.434,95.13,patrullando
11.3,U03,27.017,-33.426,93.17,regresando a base
11.4,U01,0.08,8.5,95.83,recargando
11.4,U02,-177.445,85.664,95.08,patrullando
11.4,U03,24.721,-30.585,93.11,regresando a base
11.5,U01,0.08,8.5,96.43,recargando
11.5,U02,-178.743,82.895,95.04,patrullando
11.5,U03,22.62,-27.985,93.05,regresando a base
11.6,U01,0.08,8.5,97.03,recargando
11.6,U02,-180.042,80.125,94.99,batería baja
11.6,U03,20.697,-25.607,93.0,regresando a base
11.7,U01,0.052,8.547,97.63,recargando
11.7,U02,-177.247,78.882,94.95,regresando a base
11.7,U03,18.966,-23.477,92.94,regresando a base
11.8,U01,-0.049,8.721,98.23,recargando
11.8,U02,-174.453,77.638,94.9,regresando a base
11.8,U03,17.454,-21.656,92.88,regresando a base
11.9,U01,-0.204,8.997,98.83,recargando
11.9,U02,-171.658,76.394,94.86,regresando a base
11.9,U03,16.125,-20.091,92.83,regresando a base
12.0,U01,-0.399,9.355,99.43,recargando
12.0,U02,-168.864,75.151,94.81,regresando a base
12.0,U03,14.95,-18.741,92.77,regresando a base
12.1,U01,-0.624,9.778,99.98,patrullando
12.1,U02,-166.069,73.907,94.77,regresando a base
12.1,U03,13.904,-17.572,92.71,regresando a base
12.2,U01,-5.8,14.697,99.91,patrullando
12.2,U02,-163.275,72.663,94.72,regresando a base
12.2,U03,12.735,-16.122,92.66,regresando a base
12.3,U01,-10.906,19.495,99.85,patrullando
12.3,U02,-160.48,71.42,94.68,regresando a base
12.3,U03,11.495,-14.553,92.6,regresando a base
12.4,U01,-16.011,24.294,99.78,patrullando
12.4,U02,-157.686,70.176,94.63,regresando a base
12.4,U03,10.255,-12.983,92.54,regresando a base
12.5,U01,-21.116,29.093,99.72,patrullando
12.5,U02,-154.892,68.933,94.59,regresando a base
12.5,U03,9.016,-11.414,92.48,regresando a base
12.6,U01,-26.222,33.891,99.65,patrullando
12.6,U02,-152.097,67.689,94.54,regresando a base
12.6,U03,7.776,-9.844,92.43,regresando a base
12.7,U01,-31.327,38.69,99.58,patrullando
12.7,U02,-149.303,66.445,94.5,regresando a base
12.7,U03,6.536,-8.275,92.37,regresando a base
12.8,U01,-36.433,43.489,99.52,patrullando
12.8,U02,-146.508,65.202,94.45,regresando a base
12.8,U03,5.297,-6.706,92.31,recargando
12.9,U01,-41.538,48.287,99.45,patrullando
12.9,U02,-143.714,63.958,94.41,regresando a base
12.9,U03,5.297,-6.706,92.91,recargando
13.0,U01,-46.644,53.086,99.39,patrullando
13.0,U02,-140.919,62.714,94.36,regresando a base
13.0,U03,5.297,-6.706,93.51,recargando
13.1,U01,-51.749,57.885,99.32,patrullando
13.1,U02,-138.125,61.471,94.32,regresando a base
13.1,U03,5.297,-6.706,94.11,recargando
13.2,U01,-56.854,62.683,99.25,patrullando
13.2,U02,-135.33,60.227,94.27,regresando a base
13.2,U03,5.297,-6.706,94.71,recargando
13.3,U01,-61.96,67.482,99.19,patrullando
13.3,U02,-132.536,58.983,94.22,regresando a base
13.3,U03,5.297,-6.706,95.31,recargando
13.4,U01,-67.065,72.281,99.12,patrullando
13.4,U02,-129.742,57.74,94.18,regresando a base
13.4,U03,5.297,-6.706,95.91,recargando
13.5,U01,-72.171,77.079,99.06,patrullando
13.5,U02,-126.947,56.496,94.13,regresando a base
13.5,U03,5.297,-6.706,96.51,recargando
13.6,U01,-77.276,81.878,98.99,patrullando
13.6,U02,-124.153,55.253,94.09,regresando a base
13.6,U03,5.297,-6.706,97.11,recargando
13.7,U01,-82.381,86.677,98.92,patrullando
13.7,U02,-121.358,54.009,94.04,regresando a base
13.7,U03,5.297,-6.706,97.71,recargando
13.8,U01,-87.487,91.475,98.86,patrullando
13.8,U02,-118.564,52.765,94.0,regresando a base
13.8,U03,5.297,-6.706,98.31,recargando
13.9,U01,-92.592,96.274,98.79,patrullando
13.9,U02,-115.769,51.522,93.95,regresando a base
13.9,U03,5.297,-6.706,98.91,recargando
14.0,U01,-97.698,101.073,98.73,patrullando
14.0,U02,-112.975,50.278,93.91,regresando a base
14.0,U03,5.297,-6.706,99.51,recargando
14.1,U01,-102.472,105.56,98.66,patrullando
14.1,U02,-110.181,49.034,93.86,regresando a base
14.1,U03,5.297,-6.706,99.98,patrullando
14.2,U01,-106.841,109.666,98.6,patrullando
14.2,U02,-107.386,47.791,93.82,regresando a base
14.2,U03,9.036,-10.41,99.93,patrullando
14.3,U01,-110.838,113.423,98.53,patrullando
14.3,U02,-104.592,46.547,93.77,regresando a base
14.3,U03,12.776,-14.114,99.87,patrullando
14.4,U01,-114.495,116.861,98.46,patrullando
14.4,U02,-101.797,45.304,93.73,regresando a base
14.4,U03,16.516,-17.818,99.82,patrullando
14.5,U01,-117.842,120.006,98.4,patrullando
14.5,U02,-99.003,44.06,93.68,regresando a base
14.5,U03,20.256,-21.523,99.77,patrullando
14.6,U01,-120.904,122.884,98.33,patrullando
14.6,U02,-96.208,42.816,93.64,regresando a base
14.6,U03,23.996,-25.227,99.71,patrullando
14.7,U01,-123.706,125.518,98.27,patrullando
14.7,U02,-93.414,41.573,93.59,regresando a base
14.7,U03,27.735,-28.931,99.66,patrullando
14.8,U01,-126.269,127.928,98.2,patrullando
14.8,U02,-90.619,40.329,93.55,regresando a base
14.8,U03,31.475,-32.636,99.6,patrullando
14.9,U01,-128.615,130.132,98.13,patrullando
14.9,U02,-87.825,39.085,93.5,regresando a base
14.9,U03,35.215,-36.34,99.55,patrullando
15.0,U01,-130.761,132.15,98.07,patrullando
15.0,U02,-85.031,37.842,93.46,regresando a base
15.0,U03,38.955,-40.044,99.5,patrullando
15.1,U01,-132.725,133.996,98.0,patrullando
15.1,U02,-82.236,36.598,93.41,regresando a base
15.1,U03,42.694,-43.749,99.44,patrullando
15.2,U01,-134.522,135.685,97.94,patrullando
15.2,U02,-79.442,35.355,93.37,regresando a base
15.2,U03,46.434,-47.453,99.39,patrullando
15.3,U01,-136.167,137.23,97.87,patrullando
15.3,U02,-76.647,34.111,93.32,regresando a base
15.3,U03,50.174,-51.157,99.34,patrullando
15.4,U01,-137.671,138.644,97.8,patrullando
15.4,U02,-73.853,32.867,93.28,regresando a base
15.4,U03,53.914,-54.862,99.28,patrullando
15.5,U01,-139.128,140.014,97.74,patrullando
15.5,U02,-71.058,31.624,93.23,regresando a base
15.5,U03,57.653,-58.566,99.23,patrullando
15.6,U01,-140.586,141.384,97.67,patrullando
15.6,U02,-68.264,30.38,93.19,regresando a base
15.6,U03,61.393,-62.27,99.18,patrullando
15.7,U01,-142.043,142.753,97.61,patrullando
15.7,U02,-65.469,29.136,93.14,regresando a base
15.7,U03,65.133,-65.974,99.12,patrullando
15.8,U01,-143.5,144.123,97.54,patrullando
15.8,U02,-62.675,27.893,93.1,regresando a base
15.8,U03,68.873,-69.679,99.07,patrullando
15.9,U01,-144.958,145.493,97.47,patrullando
15.9,U02,-59.881,26.649,93.05,regresando a base
15.9,U03,72.613,-73.383,99.01,patrullando
16.0,U01,-146.415,146.863,97.41,patrullando
16.0,U02,-57.086,25.405,93.01,regresando a base
16.0,U03,76.352,-77.087,98.96,patrullando
16.1,U01,-147.872,148.232,97.34,patrullando
16.1,U02,-54.292,24.162,92.96,regresando a base
16.1,U03,80.092,-80.792,98.91,patrullando
16.2,U01,-150.855,141.892,97.26,patrullando
16.2,U02,-51.497,22.918,92.92,regresando a base
16.2,U03,83.832,-84.496,98.85,patrullando
16.3,U01,-153.837,135.552,97.19,patrullando
16.3,U02,-48.703,21.675,92.87,regresando a base
16.3,U03,87.572,-88.2,98.8,patrullando
16.4,U01,-156.819,129.212,97.11,patrullando
16.4,U02,-45.908,20.431,92.83,regresando a base
16.4,U03,91.311,-91.905,98.75,patrullando
16.5,U01,-159.802,122.872,97.03,patrullando
16.5,U02,-43.114,19.187,92.78,regresando a base
16.5,U03,95.051,-95.609,98.69,patrullando
16.6,U01,-162.784,116.532,96.96,patrullando
16.6,U02,-40.32,17.944,92.73,regresando a base
16.6,U03,98.791,-99.313,98.64,patrullando
16.7,U01,-165.767,110.191,96.88,patrullando
16.7,U02,-37.525,16.7,92.69,regresando a base
16.7,U03,102.531,-103.018,98.58,patrullando
16.8,U01,-168.749,103.851,96.8,patrullando
16.8,U02,-34.731,15.456,92.64,regresando a base
16.8,U03,106.27,-106.722,98.53,patrullando
16.9,U01,-171.731,97.511,96.73,patrullando
16.9,U02,-31.936,14.213,92.6,regresando a base
16.9,U03,110.01,-110.426,98.48,patrullando
17.0,U01,-174.714,91.171,96.65,patrullando
17.0,U02,-29.222,13.005,92.55,regresando a base
17.0,U03,113.738,-114.119,98.42,patrullando
17.1,U01,-177.696,84.831,96.57,patrullando
17.1,U02,-26.738,11.899,92.51,regresando a base
17.1,U03,117.149,-117.497,98.37,patrullando
17.2,U01,-180.679,78.491,96.49,patrullando
17.2,U02,-24.465,10.888,92.46,regresando a base
17.2,U03,120.27,-120.589,98.32,patrullando
17.3,U01,-183.661,72.15,96.42,patrullando
17.3,U02,-22.386,9.962,92.42,regresando a base
17.3,U03,123.126,-123.417,98.26,patrullando
17.4,U01,-186.546,66.018,96.34,patrullando
17.4,U02,-20.483,9.116,92.37,regresando a base
17.4,U03,125.739,-126.005,98.21,patrullando
17.5,U01,-189.185,60.406,96.26,patrullando
17.5,U02,-18.656,8.302,92.33,regresando a base
17.5,U03,128.129,-128.374,98.16,patrullando
17.6,U01,-191.601,55.272,96.19,patrullando
17.6,U02,-16.828,7.489,92.28,regresando a base
17.6,U03,130.317,-130.54,98.1,patrullando
17.7,U01,-193.811,50.574,96.11,patrullando
17.7,U02,-15.001,6.676,92.24,regresando a base
17.7,U03,132.319,-132.523,98.05,patrullando
17.8,U01,-195.833,46.275,96.03,patrullando
17.8,U02,-13.174,5.863,92.19,regresando a base
17.8,U03,134.15,-134.337,97.99,patrullando
17.9,U01,-197.683,42.341,95.95,patrullando
17.9,U02,-11.347,5.05,92.15,regresando a base
17.9,U03,135.826,-135.997,97.94,patrullando
18.0,U01,-199.376,38.742,95.88,patrullando
18.0,U02,-9.519,4.237,92.1,regresando a base
18.0,U03,137.36,-137.516,97.89,patrullando
18.1,U01,-200.925,35.449,95.8,patrullando
18.1,U02,-7.692,3.423,92.06,recargando
18.1,U03,138.781,-138.924,97.83,patrullando
18.2,U01,-202.342,32.436,95.72,patrullando
18.2,U02,-7.692,3.423,92.66,recargando
18.2,U03,140.201,-140.331,97.78,patrullando
18.3,U01,-203.639,29.679,95.65,patrullando
18.3,U02,-7.692,3.423,93.26,recargando
18.3,U03,141.622,-141.739,97.73,patrullando
18.4,U01,-204.826,27.156,95.57,patrullando
18.4,U02,-7.692,3.423,93.86,recargando
18.4,U03,143.043,-143.146,97.67,patrullando
18.5,U01,-205.912,24.848,95.49,patrullando
18.5,U02,-7.692,3.423,94.46,recargando
18.5,U03,144.464,-144.553,97.62,patrullando
18.6,U01,-206.905,22.736,95.42,patrullando
18.6,U02,-7.692,3.423,95.06,recargando
